provider,doses,filed_date,report_date
Tribal Health Sites,74351,2021-09-19,2021-09-21
Primary Care,1750377,2021-09-16,2021-09-20
Community Vaccinator,934345,2021-09-16,2021-09-20
Public Health,777204,2021-09-16,2021-09-20
Pharmacy,1906034,2021-09-16,2021-09-20
Other,188586,2021-09-16,2021-09-20
Specialty,247129,2021-09-16,2021-09-20
Hospital,462593,2021-09-16,2021-09-20
Tribal Health Sites,74131,2021-09-16,2021-09-20
Primary Care,1746247,2021-09-15,2021-09-17
Public Health,776643,2021-09-15,2021-09-17
Community Vaccinator,934258,2021-09-15,2021-09-17
Other,187794,2021-09-15,2021-09-17
Pharmacy,1901231,2021-09-15,2021-09-17
Hospital,462315,2021-09-15,2021-09-17
Tribal Health Sites,74065,2021-09-15,2021-09-17
Specialty,246974,2021-09-15,2021-09-17
Primary Care,1745234,2021-09-14,2021-09-16
Public Health,776185,2021-09-14,2021-09-16
Community Vaccinator,931265,2021-09-14,2021-09-16
Other,187624,2021-09-14,2021-09-16
Pharmacy,1897113,2021-09-14,2021-09-16
Hospital,462148,2021-09-14,2021-09-16
Tribal Health Sites,73777,2021-09-14,2021-09-16
Specialty,246857,2021-09-14,2021-09-16
Hospital,462057,2021-09-13,2021-09-15
Primary Care,1741757,2021-09-13,2021-09-15
Pharmacy,1893435,2021-09-13,2021-09-15
Public Health,775986,2021-09-13,2021-09-15
Community Vaccinator,931056,2021-09-13,2021-09-15
Other,187480,2021-09-13,2021-09-15
Specialty,246807,2021-09-13,2021-09-15
Tribal Health Sites,73708,2021-09-13,2021-09-15
Public Health,775835,2021-09-12,2021-09-14
Pharmacy,1890149,2021-09-12,2021-09-14
Primary Care,1738862,2021-09-12,2021-09-14
Community Vaccinator,930694,2021-09-12,2021-09-14
Tribal Health Sites,73676,2021-09-12,2021-09-14
Specialty,246655,2021-09-12,2021-09-14
Hospital,461910,2021-09-12,2021-09-14
Other,187326,2021-09-12,2021-09-14
Primary Care,1734602,2021-09-09,2021-09-13
Public Health,775120,2021-09-09,2021-09-13
Community Vaccinator,930216,2021-09-09,2021-09-13
Other,187043,2021-09-09,2021-09-13
Pharmacy,1875789,2021-09-09,2021-09-13
Hospital,461766,2021-09-09,2021-09-13
Tribal Health Sites,73524,2021-09-09,2021-09-13
Specialty,246507,2021-09-09,2021-09-13
Primary Care,1729795,2021-09-08,2021-09-10
Public Health,774740,2021-09-08,2021-09-10
Community Vaccinator,930129,2021-09-08,2021-09-10
Other,186797,2021-09-08,2021-09-10
Pharmacy,1871538,2021-09-08,2021-09-10
Hospital,461442,2021-09-08,2021-09-10
Tribal Health Sites,73422,2021-09-08,2021-09-10
Specialty,246348,2021-09-08,2021-09-10
Primary Care,1725470,2021-09-07,2021-09-09
Community Vaccinator,929988,2021-09-07,2021-09-09
Other,186603,2021-09-07,2021-09-09
Hospital,461173,2021-09-07,2021-09-09
Pharmacy,1865755,2021-09-07,2021-09-09
Public Health,774315,2021-09-07,2021-09-09
Specialty,246201,2021-09-07,2021-09-09
Tribal Health Sites,73293,2021-09-07,2021-09-09
Primary Care,1721349,2021-09-06,2021-09-08
Public Health,774249,2021-09-06,2021-09-08
Community Vaccinator,929905,2021-09-06,2021-09-08
Other,186378,2021-09-06,2021-09-08
Pharmacy,1864246,2021-09-06,2021-09-08
Hospital,461045,2021-09-06,2021-09-08
Tribal Health Sites,73187,2021-09-06,2021-09-08
Specialty,246152,2021-09-06,2021-09-08
Pharmacy,1846033,2021-09-02,2021-09-07
Tribal Health Sites,72958,2021-09-02,2021-09-07
Primary Care,1716375,2021-09-02,2021-09-07
Public Health,773818,2021-09-02,2021-09-07
Other,185575,2021-09-02,2021-09-07
Hospital,460823,2021-09-02,2021-09-07
Specialty,246050,2021-09-02,2021-09-07
Community Vaccinator,928244,2021-09-02,2021-09-07
Primary Care,1710734,2021-09-01,2021-09-03
Public Health,773042,2021-09-01,2021-09-03
Community Vaccinator,927800,2021-09-01,2021-09-03
Other,185290,2021-09-01,2021-09-03
Pharmacy,1840831,2021-09-01,2021-09-03
Hospital,460428,2021-09-01,2021-09-03
Tribal Health Sites,72821,2021-09-01,2021-09-03
Specialty,245858,2021-09-01,2021-09-03
Primary Care,1705846,2021-08-31,2021-09-02
Public Health,772504,2021-08-31,2021-09-02
Community Vaccinator,927267,2021-08-31,2021-09-02
Other,185040,2021-08-31,2021-09-02
Pharmacy,1834898,2021-08-31,2021-09-02
Hospital,460107,2021-08-31,2021-09-02
Tribal Health Sites,72525,2021-08-31,2021-09-02
Specialty,245701,2021-08-31,2021-09-02
Public Health,772271,2021-08-30,2021-09-01
Pharmacy,1828402,2021-08-30,2021-09-01
Primary Care,1701100,2021-08-30,2021-09-01
Community Vaccinator,926551,2021-08-30,2021-09-01
Tribal Health Sites,72334,2021-08-30,2021-09-01
Specialty,245628,2021-08-30,2021-09-01
Hospital,459846,2021-08-30,2021-09-01
Other,184865,2021-08-30,2021-09-01
Primary Care,1697404,2021-08-29,2021-08-31
Public Health,772011,2021-08-29,2021-08-31
Community Vaccinator,926009,2021-08-29,2021-08-31
Other,184668,2021-08-29,2021-08-31
Pharmacy,1824279,2021-08-29,2021-08-31
Hospital,459742,2021-08-29,2021-08-31
Tribal Health Sites,72276,2021-08-29,2021-08-31
Specialty,245417,2021-08-29,2021-08-31
Hospital,459653,2021-08-26,2021-08-30
Primary Care,1692932,2021-08-26,2021-08-30
Public Health,771524,2021-08-26,2021-08-30
Pharmacy,1808033,2021-08-26,2021-08-30
Community Vaccinator,924742,2021-08-26,2021-08-30
Other,184310,2021-08-26,2021-08-30
Specialty,245289,2021-08-26,2021-08-30
Tribal Health Sites,72161,2021-08-26,2021-08-30
Pharmacy,1802311,2021-08-25,2021-08-27
Primary Care,1687204,2021-08-25,2021-08-27
Other,184293,2021-08-25,2021-08-27
Specialty,245135,2021-08-25,2021-08-27
Public Health,770707,2021-08-25,2021-08-27
Community Vaccinator,924286,2021-08-25,2021-08-27
Hospital,459215,2021-08-25,2021-08-27
Tribal Health Sites,72104,2021-08-25,2021-08-27
Public Health,770162,2021-08-24,2021-08-26
Pharmacy,1796322,2021-08-24,2021-08-26
Primary Care,1682111,2021-08-24,2021-08-26
Other,184116,2021-08-24,2021-08-26
Tribal Health Sites,71919,2021-08-24,2021-08-26
Hospital,458985,2021-08-24,2021-08-26
Specialty,244957,2021-08-24,2021-08-26
Community Vaccinator,924055,2021-08-24,2021-08-26
Primary Care,1677415,2021-08-23,2021-08-25
Public Health,769771,2021-08-23,2021-08-25
Community Vaccinator,923797,2021-08-23,2021-08-25
Other,183421,2021-08-23,2021-08-25
Pharmacy,1790555,2021-08-23,2021-08-25
Hospital,458933,2021-08-23,2021-08-25
Tribal Health Sites,71787,2021-08-23,2021-08-25
Specialty,244821,2021-08-23,2021-08-25
Primary Care,1673868,2021-08-22,2021-08-24
Community Vaccinator,923591,2021-08-22,2021-08-24
Other,183277,2021-08-22,2021-08-24
Hospital,458830,2021-08-22,2021-08-24
Pharmacy,1786324,2021-08-22,2021-08-24
Public Health,769576,2021-08-22,2021-08-24
Specialty,244872,2021-08-22,2021-08-24
Tribal Health Sites,71750,2021-08-22,2021-08-24
Primary Care,1669020,2021-08-19,2021-08-23
Public Health,768795,2021-08-19,2021-08-23
Community Vaccinator,922961,2021-08-19,2021-08-23
Other,182997,2021-08-19,2021-08-23
Pharmacy,1770326,2021-08-19,2021-08-23
Hospital,458692,2021-08-19,2021-08-23
Tribal Health Sites,71698,2021-08-19,2021-08-23
Specialty,244728,2021-08-19,2021-08-23
Public Health,768231,2021-08-18,2021-08-20
Pharmacy,1764241,2021-08-18,2021-08-20
Primary Care,1664023,2021-08-18,2021-08-20
Community Vaccinator,922783,2021-08-18,2021-08-20
Tribal Health Sites,71612,2021-08-18,2021-08-20
Specialty,244566,2021-08-18,2021-08-20
Hospital,458428,2021-08-18,2021-08-20
Other,182760,2021-08-18,2021-08-20
Hospital,458277,2021-08-17,2021-08-19
Public Health,767382,2021-08-17,2021-08-19
Primary Care,1660346,2021-08-17,2021-08-19
Community Vaccinator,922660,2021-08-17,2021-08-19
Pharmacy,1758392,2021-08-17,2021-08-19
Other,182625,2021-08-17,2021-08-19
Tribal Health Sites,71386,2021-08-17,2021-08-19
Specialty,244495,2021-08-17,2021-08-19
Public Health,767090,2021-08-16,2021-08-18
Pharmacy,1752750,2021-08-16,2021-08-18
Primary Care,1656324,2021-08-16,2021-08-18
Community Vaccinator,922442,2021-08-16,2021-08-18
Tribal Health Sites,71330,2021-08-16,2021-08-18
Specialty,244360,2021-08-16,2021-08-18
Hospital,457739,2021-08-16,2021-08-18
Other,182151,2021-08-16,2021-08-18
Primary Care,1653227,2021-08-15,2021-08-17
Community Vaccinator,922014,2021-08-15,2021-08-17
Other,182003,2021-08-15,2021-08-17
Hospital,457439,2021-08-15,2021-08-17
Pharmacy,1747844,2021-08-15,2021-08-17
Public Health,766867,2021-08-15,2021-08-17
Specialty,244261,2021-08-15,2021-08-17
Tribal Health Sites,71260,2021-08-15,2021-08-17
Public Health,766466,2021-08-12,2021-08-16
Primary Care,1649177,2021-08-12,2021-08-16
Community Vaccinator,921487,2021-08-12,2021-08-16
Pharmacy,1730745,2021-08-12,2021-08-16
Tribal Health Sites,71157,2021-08-12,2021-08-16
Specialty,244131,2021-08-12,2021-08-16
Hospital,457271,2021-08-12,2021-08-16
Other,181582,2021-08-12,2021-08-16
Public Health,765781,2021-08-11,2021-08-13
Primary Care,1644140,2021-08-11,2021-08-13
Community Vaccinator,921082,2021-08-11,2021-08-13
Pharmacy,1726621,2021-08-11,2021-08-13
Tribal Health Sites,71107,2021-08-11,2021-08-13
Specialty,243997,2021-08-11,2021-08-13
Hospital,456917,2021-08-11,2021-08-13
Other,181257,2021-08-11,2021-08-13
Public Health,765200,2021-08-10,2021-08-12
Primary Care,1640524,2021-08-10,2021-08-12
Community Vaccinator,920784,2021-08-10,2021-08-12
Other,180715,2021-08-10,2021-08-12
Pharmacy,1722145,2021-08-10,2021-08-12
Hospital,456851,2021-08-10,2021-08-12
Tribal Health Sites,70872,2021-08-10,2021-08-12
Specialty,243883,2021-08-10,2021-08-12
Public Health,764974,2021-08-09,2021-08-11
Primary Care,1636625,2021-08-09,2021-08-11
Community Vaccinator,920597,2021-08-09,2021-08-11
Other,180492,2021-08-09,2021-08-11
Pharmacy,1719929,2021-08-09,2021-08-11
Hospital,456775,2021-08-09,2021-08-11
Tribal Health Sites,70831,2021-08-09,2021-08-11
Specialty,243841,2021-08-09,2021-08-11
Public Health,764573,2021-08-08,2021-08-10
Primary Care,1633219,2021-08-08,2021-08-10
Community Vaccinator,920473,2021-08-08,2021-08-10
Pharmacy,1716467,2021-08-08,2021-08-10
Tribal Health Sites,70793,2021-08-08,2021-08-10
Specialty,243721,2021-08-08,2021-08-10
Hospital,456667,2021-08-08,2021-08-10
Other,180292,2021-08-08,2021-08-10
Public Health,764052,2021-08-05,2021-08-09
Primary Care,1629392,2021-08-05,2021-08-09
Community Vaccinator,919778,2021-08-05,2021-08-09
Other,179934,2021-08-05,2021-08-09
Pharmacy,1701025,2021-08-05,2021-08-09
Hospital,456479,2021-08-05,2021-08-09
Tribal Health Sites,70661,2021-08-05,2021-08-09
Specialty,243597,2021-08-05,2021-08-09
Public Health,763277,2021-08-04,2021-08-06
Primary Care,1625059,2021-08-04,2021-08-06
Community Vaccinator,919506,2021-08-04,2021-08-06
Other,179622,2021-08-04,2021-08-06
Pharmacy,1695758,2021-08-04,2021-08-06
Hospital,456147,2021-08-04,2021-08-06
Tribal Health Sites,70612,2021-08-04,2021-08-06
Specialty,243502,2021-08-04,2021-08-06
Public Health,762840,2021-08-03,2021-08-05
Primary Care,1621404,2021-08-03,2021-08-05
Community Vaccinator,919293,2021-08-03,2021-08-05
Pharmacy,1689601,2021-08-03,2021-08-05
Tribal Health Sites,70505,2021-08-03,2021-08-05
Specialty,243373,2021-08-03,2021-08-05
Hospital,456015,2021-08-03,2021-08-05
Other,179389,2021-08-03,2021-08-05
Public Health,762441,2021-08-02,2021-08-04
Primary Care,1617632,2021-08-02,2021-08-04
Community Vaccinator,918904,2021-08-02,2021-08-04
Other,178915,2021-08-02,2021-08-04
Pharmacy,1684766,2021-08-02,2021-08-04
Hospital,455893,2021-08-02,2021-08-04
Tribal Health Sites,70464,2021-08-02,2021-08-04
Specialty,243286,2021-08-02,2021-08-04
Pharmacy,1681140,2021-08-01,2021-08-03
Primary Care,1614688,2021-08-01,2021-08-03
Other,178499,2021-08-01,2021-08-03
Specialty,242754,2021-08-01,2021-08-03
Public Health,762239,2021-08-01,2021-08-03
Community Vaccinator,918740,2021-08-01,2021-08-03
Hospital,455737,2021-08-01,2021-08-03
Tribal Health Sites,70243,2021-08-01,2021-08-03
Hospital,455572,2021-07-29,2021-08-02
Public Health,761941,2021-07-29,2021-08-02
Primary Care,1611356,2021-07-29,2021-08-02
Community Vaccinator,917974,2021-07-29,2021-08-02
Pharmacy,1667567,2021-07-29,2021-08-02
Other,178232,2021-07-29,2021-08-02
Tribal Health Sites,70173,2021-07-29,2021-08-02
Specialty,242672,2021-07-29,2021-08-02
Public Health,761593,2021-07-28,2021-07-30
Primary Care,1607247,2021-07-28,2021-07-30
Community Vaccinator,917794,2021-07-28,2021-07-30
Other,177972,2021-07-28,2021-07-30
Pharmacy,1663631,2021-07-28,2021-07-30
Hospital,455335,2021-07-28,2021-07-30
Tribal Health Sites,70128,2021-07-28,2021-07-30
Specialty,242569,2021-07-28,2021-07-30
Primary Care,1603951,2021-07-27,2021-07-29
Community Vaccinator,917402,2021-07-27,2021-07-29
Other,177775,2021-07-27,2021-07-29
Hospital,455191,2021-07-27,2021-07-29
Pharmacy,1659000,2021-07-27,2021-07-29
Public Health,760945,2021-07-27,2021-07-29
Specialty,242487,2021-07-27,2021-07-29
Tribal Health Sites,70046,2021-07-27,2021-07-29
Public Health,760900,2021-07-26,2021-07-28
Primary Care,1600375,2021-07-26,2021-07-28
Community Vaccinator,917267,2021-07-26,2021-07-28
Pharmacy,1652287,2021-07-26,2021-07-28
Tribal Health Sites,69996,2021-07-26,2021-07-28
Specialty,242393,2021-07-26,2021-07-28
Hospital,455098,2021-07-26,2021-07-28
Other,177713,2021-07-26,2021-07-28
Public Health,760776,2021-07-25,2021-07-27
Primary Care,1598330,2021-07-25,2021-07-27
Community Vaccinator,917064,2021-07-25,2021-07-27
Pharmacy,1649980,2021-07-25,2021-07-27
Tribal Health Sites,69743,2021-07-25,2021-07-27
Specialty,242304,2021-07-25,2021-07-27
Hospital,454977,2021-07-25,2021-07-27
Other,177535,2021-07-25,2021-07-27
Pharmacy,1640540,2021-07-22,2021-07-26
Primary Care,1595421,2021-07-22,2021-07-26
Specialty,242229,2021-07-22,2021-07-26
Other,177306,2021-07-22,2021-07-26
Public Health,760496,2021-07-22,2021-07-26
Community Vaccinator,916561,2021-07-22,2021-07-26
Hospital,454872,2021-07-22,2021-07-26
Tribal Health Sites,69687,2021-07-22,2021-07-26
Primary Care,1591865,2021-07-21,2021-07-23
Community Vaccinator,916298,2021-07-21,2021-07-23
Public Health,759942,2021-07-21,2021-07-23
Other,177105,2021-07-21,2021-07-23
Pharmacy,1637179,2021-07-21,2021-07-23
Specialty,242144,2021-07-21,2021-07-23
Hospital,454681,2021-07-21,2021-07-23
Tribal Health Sites,69665,2021-07-21,2021-07-23
Hospital,454613,2021-07-20,2021-07-22
Primary Care,1588797,2021-07-20,2021-07-22
Public Health,759569,2021-07-20,2021-07-22
Community Vaccinator,915902,2021-07-20,2021-07-22
Other,176728,2021-07-20,2021-07-22
Specialty,242055,2021-07-20,2021-07-22
Pharmacy,1633579,2021-07-20,2021-07-22
Tribal Health Sites,69525,2021-07-20,2021-07-22
Public Health,759265,2021-07-19,2021-07-21
Primary Care,1586645,2021-07-19,2021-07-21
Community Vaccinator,915844,2021-07-19,2021-07-21
Other,176512,2021-07-19,2021-07-21
Pharmacy,1630413,2021-07-19,2021-07-21
Hospital,454657,2021-07-19,2021-07-21
Tribal Health Sites,69510,2021-07-19,2021-07-21
Specialty,242064,2021-07-19,2021-07-21
Public Health,758966,2021-07-18,2021-07-20
Primary Care,1584312,2021-07-18,2021-07-20
Community Vaccinator,915532,2021-07-18,2021-07-20
Pharmacy,1628106,2021-07-18,2021-07-20
Tribal Health Sites,69404,2021-07-18,2021-07-20
Specialty,242006,2021-07-18,2021-07-20
Hospital,454565,2021-07-18,2021-07-20
Other,176372,2021-07-18,2021-07-20
Public Health,758728,2021-07-15,2021-07-19
Primary Care,1581387,2021-07-15,2021-07-19
Community Vaccinator,914964,2021-07-15,2021-07-19
Pharmacy,1620538,2021-07-15,2021-07-19
Tribal Health Sites,69363,2021-07-15,2021-07-19
Specialty,241919,2021-07-15,2021-07-19
Hospital,454467,2021-07-15,2021-07-19
Other,176158,2021-07-15,2021-07-19
Public Health,758430,2021-07-14,2021-07-16
Primary Care,1578256,2021-07-14,2021-07-16
Community Vaccinator,914641,2021-07-14,2021-07-16
Other,175829,2021-07-14,2021-07-16
Pharmacy,1617814,2021-07-14,2021-07-16
Hospital,454262,2021-07-14,2021-07-16
Tribal Health Sites,69329,2021-07-14,2021-07-16
Specialty,241846,2021-07-14,2021-07-16
Public Health,757506,2021-07-12,2021-07-14
Primary Care,1571855,2021-07-12,2021-07-14
Community Vaccinator,913090,2021-07-12,2021-07-14
Other,175297,2021-07-12,2021-07-14
Pharmacy,1609104,2021-07-12,2021-07-14
Hospital,453838,2021-07-12,2021-07-14
Tribal Health Sites,69189,2021-07-12,2021-07-14
Specialty,241440,2021-07-12,2021-07-14
Primary Care,1569457,2021-07-11,2021-07-13
Specialty,241319,2021-07-11,2021-07-13
Pharmacy,1606980,2021-07-11,2021-07-13
Hospital,453777,2021-07-11,2021-07-13
Other,175204,2021-07-11,2021-07-13
Public Health,757376,2021-07-11,2021-07-13
Community Vaccinator,912724,2021-07-11,2021-07-13
Tribal Health Sites,69183,2021-07-11,2021-07-13
Public Health,756881,2021-07-08,2021-07-12
Primary Care,1566569,2021-07-08,2021-07-12
Community Vaccinator,911898,2021-07-08,2021-07-12
Other,174831,2021-07-08,2021-07-12
Pharmacy,1599608,2021-07-08,2021-07-12
Hospital,453683,2021-07-08,2021-07-12
Tribal Health Sites,69104,2021-07-08,2021-07-12
Specialty,241190,2021-07-08,2021-07-12
Public Health,756464,2021-07-07,2021-07-09
Primary Care,1562970,2021-07-07,2021-07-09
Community Vaccinator,911604,2021-07-07,2021-07-09
Other,174729,2021-07-07,2021-07-09
Pharmacy,1595934,2021-07-07,2021-07-09
Hospital,453506,2021-07-07,2021-07-09
Tribal Health Sites,69079,2021-07-07,2021-07-09
Specialty,241106,2021-07-07,2021-07-09
Hospital,453375,2021-07-06,2021-07-08
Other,174430,2021-07-06,2021-07-08
Primary Care,1559941,2021-07-06,2021-07-08
Pharmacy,1592542,2021-07-06,2021-07-08
Public Health,756273,2021-07-06,2021-07-08
Community Vaccinator,911041,2021-07-06,2021-07-08
Tribal Health Sites,68972,2021-07-06,2021-07-08
Specialty,240991,2021-07-06,2021-07-08
Public Health,755749,2021-07-05,2021-07-07
Primary Care,1557018,2021-07-05,2021-07-07
Community Vaccinator,910900,2021-07-05,2021-07-07
Other,174043,2021-07-05,2021-07-07
Pharmacy,1588674,2021-07-05,2021-07-07
Hospital,453388,2021-07-05,2021-07-07
Tribal Health Sites,68828,2021-07-05,2021-07-07
Specialty,240919,2021-07-05,2021-07-07
Public Health,755725,2021-07-02,2021-07-06
Primary Care,1556233,2021-07-02,2021-07-06
Community Vaccinator,910459,2021-07-02,2021-07-06
Other,173958,2021-07-02,2021-07-06
Pharmacy,1582464,2021-07-02,2021-07-06
Hospital,453347,2021-07-02,2021-07-06
Tribal Health Sites,68822,2021-07-02,2021-07-06
Specialty,240898,2021-07-02,2021-07-06
Hospital,453254,2021-07-01,2021-07-03
Other,173466,2021-07-01,2021-07-03
Primary Care,1554043,2021-07-01,2021-07-03
Pharmacy,1578929,2021-07-01,2021-07-03
Public Health,755592,2021-07-01,2021-07-03
Community Vaccinator,910052,2021-07-01,2021-07-03
Tribal Health Sites,68794,2021-07-01,2021-07-03
Specialty,240805,2021-07-01,2021-07-03
Public Health,755255,2021-06-30,2021-07-02
Primary Care,1550324,2021-06-30,2021-07-02
Community Vaccinator,909516,2021-06-30,2021-07-02
Pharmacy,1575678,2021-06-30,2021-07-02
Other,174840,2021-06-30,2021-07-02
Hospital,452872,2021-06-30,2021-07-02
Tribal Health Sites,68759,2021-06-30,2021-07-02
Specialty,239150,2021-06-30,2021-07-02
Public Health,754626,2021-06-29,2021-07-01
Primary Care,1546822,2021-06-29,2021-07-01
Community Vaccinator,908663,2021-06-29,2021-07-01
Pharmacy,1571944,2021-06-29,2021-07-01
Tribal Health Sites,68685,2021-06-29,2021-07-01
Specialty,239054,2021-06-29,2021-07-01
Hospital,452736,2021-06-29,2021-07-01
Other,174690,2021-06-29,2021-07-01
Primary Care,1544054,2021-06-28,2021-06-30
Other,174226,2021-06-28,2021-06-30
Pharmacy,1560522,2021-06-28,2021-06-30
Specialty,238946,2021-06-28,2021-06-30
Public Health,753723,2021-06-28,2021-06-30
Hospital,452771,2021-06-28,2021-06-30
Tribal Health Sites,68660,2021-06-28,2021-06-30
Community Vaccinator,908487,2021-06-28,2021-06-30
Primary Care,1541383,2021-06-27,2021-06-29
Community Vaccinator,907719,2021-06-27,2021-06-29
Other,174162,2021-06-27,2021-06-29
Hospital,452704,2021-06-27,2021-06-29
Pharmacy,1557870,2021-06-27,2021-06-29
Public Health,753508,2021-06-27,2021-06-29
Specialty,238811,2021-06-27,2021-06-29
Tribal Health Sites,68639,2021-06-27,2021-06-29
Specialty,238811,2021-06-26,2021-06-28
Pharmacy,1556237,2021-06-26,2021-06-28
Public Health,753418,2021-06-26,2021-06-28
Primary Care,1541346,2021-06-26,2021-06-28
Other,174138,2021-06-26,2021-06-28
Hospital,452701,2021-06-26,2021-06-28
Tribal Health Sites,68639,2021-06-26,2021-06-28
Community Vaccinator,907571,2021-06-26,2021-06-28
Primary Care,1540909,2021-06-25,2021-06-27
Specialty,238809,2021-06-25,2021-06-27
Other,174094,2021-06-25,2021-06-27
Public Health,752894,2021-06-25,2021-06-27
Pharmacy,1541556,2021-06-25,2021-06-27
Community Vaccinator,907304,2021-06-25,2021-06-27
Hospital,452693,2021-06-25,2021-06-27
Tribal Health Sites,68631,2021-06-25,2021-06-27
Public Health,752682,2021-06-24,2021-06-26
Primary Care,1538065,2021-06-24,2021-06-26
Community Vaccinator,906454,2021-06-24,2021-06-26
Pharmacy,1531935,2021-06-24,2021-06-26
Other,173938,2021-06-24,2021-06-26
Hospital,452577,2021-06-24,2021-06-26
Tribal Health Sites,68351,2021-06-24,2021-06-26
Specialty,238633,2021-06-24,2021-06-26
Public Health,751867,2021-06-23,2021-06-25
Pharmacy,1524992,2021-06-23,2021-06-25
Primary Care,1533578,2021-06-23,2021-06-25
Other,173768,2021-06-23,2021-06-25
Tribal Health Sites,68304,2021-06-23,2021-06-25
Hospital,452261,2021-06-23,2021-06-25
Community Vaccinator,905765,2021-06-23,2021-06-25
Specialty,238406,2021-06-23,2021-06-25
Public Health,751276,2021-06-22,2021-06-24
Primary Care,1529298,2021-06-22,2021-06-24
Community Vaccinator,904850,2021-06-22,2021-06-24
Pharmacy,1520146,2021-06-22,2021-06-24
Other,173617,2021-06-22,2021-06-24
Hospital,452125,2021-06-22,2021-06-24
Tribal Health Sites,68234,2021-06-22,2021-06-24
Specialty,238219,2021-06-22,2021-06-24
Public Health,750683,2021-06-21,2021-06-23
Primary Care,1525333,2021-06-21,2021-06-23
Community Vaccinator,904627,2021-06-21,2021-06-23
Pharmacy,1516870,2021-06-21,2021-06-23
Tribal Health Sites,68171,2021-06-21,2021-06-23
Specialty,238037,2021-06-21,2021-06-23
Hospital,452090,2021-06-21,2021-06-23
Other,173015,2021-06-21,2021-06-23
Hospital,452000,2021-06-20,2021-06-22
Public Health,750576,2021-06-20,2021-06-22
Primary Care,1522675,2021-06-20,2021-06-22
Community Vaccinator,904154,2021-06-20,2021-06-22
Pharmacy,1513764,2021-06-20,2021-06-22
Other,172798,2021-06-20,2021-06-22
Tribal Health Sites,68157,2021-06-20,2021-06-22
Specialty,237907,2021-06-20,2021-06-22
Public Health,750509,2021-06-19,2021-06-21
Primary Care,1522640,2021-06-19,2021-06-21
Community Vaccinator,904109,2021-06-19,2021-06-21
Pharmacy,1510744,2021-06-19,2021-06-21
Other,172790,2021-06-19,2021-06-21
Hospital,451997,2021-06-19,2021-06-21
Tribal Health Sites,68157,2021-06-19,2021-06-21
Specialty,237902,2021-06-19,2021-06-21
Public Health,750294,2021-06-18,2021-06-20
Primary Care,1521540,2021-06-18,2021-06-20
Community Vaccinator,903608,2021-06-18,2021-06-20
Pharmacy,1503098,2021-06-18,2021-06-20
Tribal Health Sites,68157,2021-06-18,2021-06-20
Specialty,237889,2021-06-18,2021-06-20
Hospital,451990,2021-06-18,2021-06-20
Other,172760,2021-06-18,2021-06-20
Public Health,749784,2021-06-17,2021-06-19
Primary Care,1516979,2021-06-17,2021-06-19
Community Vaccinator,902306,2021-06-17,2021-06-19
Pharmacy,1498340,2021-06-17,2021-06-19
Other,172507,2021-06-17,2021-06-19
Hospital,451386,2021-06-17,2021-06-19
Tribal Health Sites,68035,2021-06-17,2021-06-19
Specialty,237744,2021-06-17,2021-06-19
Hospital,451023,2021-06-16,2021-06-18
Public Health,748875,2021-06-16,2021-06-18
Primary Care,1510724,2021-06-16,2021-06-18
Community Vaccinator,901169,2021-06-16,2021-06-18
Pharmacy,1488975,2021-06-16,2021-06-18
Other,171835,2021-06-16,2021-06-18
Tribal Health Sites,67993,2021-06-16,2021-06-18
Specialty,237491,2021-06-16,2021-06-18
Primary Care,1504571,2021-06-15,2021-06-17
Other,171605,2021-06-15,2021-06-17
Pharmacy,1482481,2021-06-15,2021-06-17
Specialty,237138,2021-06-15,2021-06-17
Public Health,747964,2021-06-15,2021-06-17
Hospital,450525,2021-06-15,2021-06-17
Tribal Health Sites,67855,2021-06-15,2021-06-17
Community Vaccinator,899590,2021-06-15,2021-06-17
Public Health,746632,2021-06-14,2021-06-16
Primary Care,1497766,2021-06-14,2021-06-16
Community Vaccinator,899041,2021-06-14,2021-06-16
Other,171407,2021-06-14,2021-06-16
Pharmacy,1476117,2021-06-14,2021-06-16
Hospital,449926,2021-06-14,2021-06-16
Tribal Health Sites,67491,2021-06-14,2021-06-16
Specialty,236851,2021-06-14,2021-06-16
Hospital,449724,2021-06-13,2021-06-15
Primary Care,1493939,2021-06-13,2021-06-15
Public Health,746260,2021-06-13,2021-06-15
Community Vaccinator,898414,2021-06-13,2021-06-15
Specialty,236635,2021-06-13,2021-06-15
Pharmacy,1461248,2021-06-13,2021-06-15
Other,170391,2021-06-13,2021-06-15
Tribal Health Sites,67446,2021-06-13,2021-06-15
Pharmacy,1457072,2021-06-12,2021-06-14
Primary Care,1494087,2021-06-12,2021-06-14
Public Health,746271,2021-06-12,2021-06-14
Community Vaccinator,897874,2021-06-12,2021-06-14
Other,170440,2021-06-12,2021-06-14
Specialty,236635,2021-06-12,2021-06-14
Hospital,449730,2021-06-12,2021-06-14
Tribal Health Sites,67445,2021-06-12,2021-06-14
Pharmacy,1452708,2021-06-11,2021-06-13
Primary Care,1492124,2021-06-11,2021-06-13
Public Health,745730,2021-06-11,2021-06-13
Community Vaccinator,896729,2021-06-11,2021-06-13
Tribal Health Sites,67425,2021-06-11,2021-06-13
Specialty,236618,2021-06-11,2021-06-13
Hospital,449591,2021-06-11,2021-06-13
Other,170152,2021-06-11,2021-06-13
Pharmacy,1443589,2021-06-10,2021-06-12
